timestamp,value
1766144268914235813,2
1766144269211008027,2
1766144269509831409,2
1766144269809644199,2
1766144270110033693,2
1766144270409697139,2
1766144270709606762,2
1766144271009914006,2
1766144271309871130,2
1766144271609657028,2
1766144271909722056,2
1766144272209978799,2
1766144272509593067,2
1766144272809781736,2
1766144273109550344,2
1766144273409546867,2
1766144273709617977,2
1766144274009831179,2
1766144274309612612,2
1766144274610018796,2
1766144274909636650,2
1766144275209628339,2
1766144275509522237,2
1766144275809735901,2
1766144276109744353,2
1766144276409585311,2
1766144276709625992,2
1766144277011097075,2
1766144277309549822,2
1766144277610726215,2
1766144277910166705,2
1766144278209553311,2
1766144278509596519,2
1766144278809841567,2
1766144279109663675,2
1766144279409954270,2
1766144279710461902,2
1766144280010218311,2
1766144280310071059,2
1766144280609659587,2
1766144280909775013,2
1766144281209806471,2
1766144281509939795,2
1766144281809589326,2
1766144282110008440,2
1766144282410296088,2
1766144282709768001,2
1766144283009902899,2
1766144283309928454,2
1766144283610289156,2
1766144283909733399,2
1766144284209998625,2
1766144284510541260,2
1766144284809633235,2
1766144285111560353,2
1766144285409633878,2
1766144285709719317,2
1766144286009687780,2
1766144286310124498,2
1766144286609655111,2
1766144286910602953,2
1766144287209910192,2
1766144287509731232,2
1766144287809714541,2
1766144288110081792,2
1766144288410055468,2
1766144288710111348,2
1766144289009699516,2
1766144289309686665,2
1766144289609937529,2
1766144289909885553,2
1766144290209773427,2
1766144290509837680,2
1766144290809959784,2
1766144291109899646,2
1766144291412047706,2
1766144291709770219,2
1766144292010043055,2
1766144292311306400,2
1766144292609730035,2
1766144292909793316,2
1766144293209943193,2
1766144293512928793,2
1766144293810261972,2
1766144294110142440,2
1766144294410092753,2
1766144294711316624,2
1766144295009693438,2
1766144295309883261,2
1766144295609737275,2
1766144295909768499,2
1766144296209870837,2
1766144296509917289,2
1766144296809917236,2
1766144297109906137,2
1766144297409956371,2
1766144297709937129,2
1766144298010949013,2
1766144298309685375,2
