timestamp,value
1766145328061974298,1
1766145328359700588,1
1766145328658906932,1
1766145328959475285,1
1766145329259802439,1
1766145329558856149,1
1766145329857947760,1
1766145330159657334,1
1766145330459811857,1
1766145330759293468,1
1766145331059801901,1
1766145331359887316,1
1766145331659285743,1
1766145331960176751,1
1766145332260285563,1
1766145332559841415,1
1766145332859857489,1
1766145333158321714,1
1766145333458545787,1
1766145333758751855,1
1766145334059900683,1
1766145334357952991,1
1766145334658248226,1
1766145334958303765,1
1766145335257591190,1
1766145335557622757,1
1766145335859601288,1
1766145336159192037,1
1766145336458663121,1
1766145336758906744,1
1766145337060638512,1
1766145337358574198,1
1766145337661314083,1
1766145337960744489,1
1766145338257395189,1
1766145338558982490,1
1766145338860909123,1
1766145339159922814,1
1766145339460014871,1
1766145339758839361,1
1766145340057972133,1
1766145340359613460,1
1766145340658278047,1
1766145340959871084,1
1766145341257326187,1
1766145341559308961,1
1766145341859282775,1
1766145342158650560,1
1766145342459196499,1
1766145342762354187,1
1766145343059688858,1
1766145343359832614,1
1766145343659451184,1
1766145343958949129,1
1766145344257406411,1
1766145344559609157,1
1766145344858870507,1
1766145345159015429,1
1766145345459699665,1
1766145345758542464,1
1766145346058853910,1
1766145346359470391,1
1766145346659864760,1
1766145346959468752,1
1766145347258770569,1
1766145347558627979,1
1766145347859328815,1
1766145348161343024,1
1766145348459045152,1
1766145348757452974,1
1766145349059120808,1
1766145349360636525,1
1766145349659641536,1
1766145349958452883,1
1766145350260786282,1
1766145350560069764,1
1766145350860199936,1
1766145351159376323,1
1766145351459497575,1
1766145351758166799,1
1766145352058682104,1
1766145352359361892,1
1766145352659889031,1
1766145352960264091,1
1766145353261059659,1
1766145353560145861,1
1766145353859351874,1
1766145354158812559,1
1766145354460464087,1
1766145354759244840,1
1766145355059899503,1
1766145355358843244,1
1766145355657929363,1
