timestamp,value
1766145959438586148,2
1766145959737387712,2
1766145960037540215,2
1766145960337702095,2
1766145960637986341,2
1766145960937734411,2
1766145961237680986,2
1766145961537605559,2
1766145961837694605,2
1766145962137556029,2
1766145962437841947,2
1766145962738185626,2
1766145963037752908,2
1766145963337774459,2
1766145963637578490,2
1766145963937544546,2
1766145964237848032,2
1766145964537542725,2
1766145964837642284,2
1766145965137646890,2
1766145965437553641,2
1766145965737618182,2
1766145966037806443,2
1766145966338517815,2
1766145966638852937,2
1766145966938052372,2
1766145967237868453,2
1766145967538223674,2
1766145967837606575,2
1766145968137997113,2
1766145968438050998,2
1766145968737879555,2
1766145969037601455,2
1766145969338391645,2
1766145969638369019,2
1766145969937590920,2
1766145970237759062,2
1766145970537531892,2
1766145970838159753,2
1766145971138332073,2
1766145971437664228,2
1766145971738698023,2
1766145972037841219,2
1766145972337713647,2
1766145972638153347,2
1766145972937822012,2
1766145973238013879,2
1766145973537976181,2
1766145973838406581,2
1766145974138244352,2
1766145974437614135,2
1766145974737675876,2
1766145975037532332,2
1766145975337633451,2
1766145975638056554,2
1766145975937569727,2
1766145976238248921,2
1766145976538195204,2
1766145976838081221,2
1766145977137508517,2
1766145977437627442,2
1766145977737800890,2
1766145978038415297,2
1766145978337410403,2
1766145978638267324,2
1766145978937584589,2
1766145979237544299,2
1766145979537488612,2
1766145979837727032,2
1766145980137972645,2
