timestamp,value
1766148757385475348,2
1766148757687046605,2
1766148757981306872,2
1766148758285201983,2
1766148758582733059,2
1766148758885277236,2
1766148759185715146,2
1766148759482837048,2
1766148759782249830,2
1766148760081884475,2
1766148760383054717,2
1766148760687174913,2
1766148760985422526,2
1766148761285722783,2
1766148761584578505,2
1766148761884186170,1
1766148762181974461,1
1766148762483699104,1
1766148762781270225,1
1766148763085129620,1
1766148763384651198,1
1766148763684761355,1
1766148763987003376,1
1766148764285026383,1
1766148764581731680,1
1766148764883310612,1
1766148765187672699,1
1766148765482083762,1
1766148765782917070,1
1766148766081848821,1
1766148766382660259,1
1766148766685274130,1
1766148766986572174,1
1766148767285715840,1
1766148767585542167,1
1766148767885968743,1
1766148768183136786,1
1766148768481422861,1
1766148768783886188,1
1766148769082179606,1
1766148769385095621,1
1766148769682442041,1
1766148769981957303,1
1766148770281413309,1
1766148770581224074,1
1766148770884697850,1
1766148771182691745,1
1766148771484822587,1
1766148771784983560,1
1766148772085989673,1
1766148772383563871,1
1766148772684614422,1
1766148772983976145,1
1766148773285672605,1
1766148773584684880,1
1766148773881331065,1
1766148774185981818,1
1766148774483324266,1
1766148774781577441,1
1766148775083185588,1
1766148775383916216,1
1766148775683862289,1
1766148775984914673,1
1766148776284561702,1
1766148776584271554,1
1766148776885266993,1
1766148777184653070,1
1766148777481656929,1
1766148777785274004,1
1766148778084199211,1
1766148778384320809,1
1766148778682899683,1
1766148778984950190,1
1766148779281071565,1
1766148779581895478,1
1766148779882626372,1
1766148780182461589,1
1766148780484461114,1
1766148780785595888,1
1766148781085364160,1
1766148781382195567,1
1766148781684862573,1
1766148781982682776,1
1766148782285610949,1
1766148782586519854,1
1766148782881984912,1
1766148783182018043,1
1766148783481722116,1
1766148783784330391,1
1766148784081501023,1
1766148784384574590,1
1766148784683406005,1
1766148784982408075,1
1766148785286756285,1
1766148785585025226,1
1766148785885788666,1
1766148786184081193,1
1766148786485372599,1
1766148786785263032,1
1766148787085369661,1
1766148787385121520,1
1766148787685305599,1
1766148787985356306,1
1766148788283862588,1
1766148788581143619,1
1766148788885916119,1
1766148789184186386,1
1766148789485966611,1
1766148789784074662,1
1766148790084735106,1
1766148790381800084,1
1766148790685413900,1
1766148790986811100,1
1766148791284918389,1
1766148791584045726,1
1766148791883373107,1
1766148792182287393,1
1766148792481439052,1
1766148792782550541,1
1766148793085539277,1
1766148793385190309,1
1766148793682383986,1
1766148793981468662,1
1766148794283323009,1
1766148794584770930,1
1766148794884618683,1
1766148795181599179,1
1766148795485056665,1
1766148795782857048,1
1766148796082364305,1
1766148796386382448,1
1766148796684731442,1
1766148796983225929,1
1766148797285672980,1
1766148797583440776,1
1766148797884184599,1
