timestamp,value
1766148838381755900,1
1766148838685197062,1
1766148838982869182,1
1766148839284280335,1
1766148839584522413,1
1766148839884946557,1
1766148840183956747,1
1766148840480680170,1
1766148840783903725,1
1766148841083314578,1
1766148841383592323,1
1766148841681642118,1
1766148841981177510,1
1766148842282753289,1
1766148842580465110,1
1766148842881278644,1
1766148843185297648,1
1766148843484045970,1
1766148843782444666,1
1766148844081373096,1
1766148844383236474,1
1766148844681187610,1
1766148844981451181,1
1766148845282521204,1
1766148845582158913,1
1766148845884474031,1
1766148846184122897,1
1766148846484692147,1
1766148846784055216,1
1766148847084475863,1
1766148847381549531,1
1766148847680447911,1
1766148847982235842,1
1766148848284582097,1
1766148848583638716,1
1766148848885602137,1
1766148849181063012,1
1766148849482833497,1
1766148849782971131,1
1766148850082436332,1
1766148850385173627,1
1766148850683845927,1
1766148850982457725,1
1766148851283613013,1
1766148851585097067,1
1766148851881050096,1
1766148852185563429,1
1766148852485929135,1
1766148852784405570,1
1766148853082789746,1
1766148853381172723,1
1766148853683172643,1
1766148853984761041,1
1766148854283162858,1
1766148854584732009,1
1766148854883759767,1
1766148855181453196,1
1766148855483734892,1
1766148855780481050,1
1766148856085565363,1
1766148856385596079,1
1766148856683464193,1
1766148856982054102,1
1766148857283360011,1
1766148857580767008,1
1766148857884060056,1
1766148858182013395,1
1766148858481636960,1
1766148858782281602,1
1766148859085624458,1
1766148859381755363,1
1766148859686016985,1
1766148859983249328,1
1766148860285094088,1
1766148860584324202,1
1766148860881552896,1
1766148861183911607,1
1766148861483773426,1
1766148861783783770,1
1766148862084748582,1
1766148862381263676,1
1766148862682766359,1
1766148862981239051,1
1766148863283027644,1
1766148863584517764,1
1766148863883383826,1
1766148864183838552,1
1766148864484158573,1
1766148864781236744,1
1766148865084195137,1
1766148865384000496,1
1766148865681092543,1
1766148865984225838,1
1766148866285831844,1
1766148866582476129,1
1766148866885861651,1
1766148867184077278,1
1766148867483090245,1
1766148867782871811,1
1766148868084325897,1
1766148868383218117,1
1766148868683909338,1
1766148868982711237,1
1766148869286047788,1
1766148869583097301,1
1766148869883349800,1
1766148870183828715,1
1766148870483524937,1
1766148870785263410,1
1766148871080641926,1
1766148871383569466,1
1766148871681341776,1
1766148871983954806,1
1766148872282170054,1
1766148872582590121,1
1766148872884511482,1
1766148873182959933,1
1766148873484252045,1
1766148873783560801,1
1766148874083771438,1
1766148874385195808,1
1766148874683603426,1
1766148874983978505,1
1766148875282835353,1
1766148875581099980,1
1766148875885555439,1
1766148876182538923,1
1766148876485391488,1
1766148876784049815,1
1766148877083850186,1
1766148877384511348,1
1766148877683779746,1
1766148877983600503,1
1766148878281223493,1
1766148878581458755,1
1766148878883845204,1
1766148879181026840,1
1766148879484523653,1
1766148879784377009,1
1766148880085216627,1
1766148880382495680,1
1766148880684066844,1
1766148880984701834,1
1766148881284676681,1
1766148881583241738,1
1766148881884837685,1
1766148882183665804,1
1766148882480630909,1
1766148882784968287,1
1766148883082243978,1
1766148883384853094,1
1766148883684051419,1
1766148883984080692,1
1766148884284347319,1
1766148884582533200,1
1766148884883608149,1
1766148885183370963,1
1766148885483649522,1
1766148885781981962,1
1766148886081680320,1
1766148886381924348,1
1766148886682590337,1
1766148886983472246,1
1766148887282999624,1
1766148887583242012,1
1766148887882823830,1
1766148888182846623,1
1766148888480930141,1
1766148888783272516,1
1766148889085443418,1
1766148889381620052,1
1766148889687284514,1
1766148889980997110,1
1766148890284352468,1
1766148890584570162,1
1766148890884019712,1
1766148891183120587,1
1766148891485940333,1
1766148891782370108,1
1766148892082266115,1
1766148892382428124,1
1766148892684269715,1
1766148892983003456,1
1766148893282841070,1
1766148893582734178,1
1766148893883686615,1
