timestamp,value
1766145561158519872,1
1766145561463656052,1
1766145561760950377,1
1766145562059171251,1
1766145562358542457,1
1766145562659105579,1
1766145562960084839,1
1766145563260151439,1
1766145563564405686,1
1766145563859228235,1
1766145564158339581,1
1766145564462250004,1
1766145564759333344,1
1766145565059404183,1
1766145565358412506,1
1766145565660560736,1
1766145565958998619,1
1766145566259594284,1
1766145566562120609,1
1766145566857912971,1
1766145567162077607,1
1766145567459897035,1
1766145567760403000,1
1766145568063913333,1
1766145568359579187,1
1766145568660981925,1
1766145568958428648,1
1766145569263561076,1
1766145569562520490,1
1766145569861126799,1
1766145570159912343,1
1766145570459020346,1
1766145570761889586,1
1766145571059149515,1
1766145571359563447,1
1766145571660589918,1
1766145571960664931,1
1766145572260089301,1
1766145572565285147,1
1766145572861951008,1
1766145573157290961,1
1766145573462401694,1
1766145573759599530,1
1766145574059375732,1
1766145574363261167,1
1766145574660539159,1
1766145574959679904,1
1766145575262062533,1
1766145575559654156,1
1766145575859653198,1
1766145576159872710,1
1766145576460895823,1
1766145576762350965,1
1766145577059040232,1
1766145577359367001,1
1766145577659091032,1
1766145577957038442,1
1766145578258539057,1
1766145578560925406,1
1766145578864044607,1
1766145579160788253,1
1766145579465050871,1
1766145579758926855,1
1766145580060350743,1
1766145580365151483,1
1766145580659104179,1
1766145580960018562,1
1766145581260340627,1
1766145581557596325,1
1766145581858558290,1
1766145582159870374,1
1766145582459257877,1
1766145582759058069,1
1766145583059117431,1
1766145583360096295,1
1766145583658150281,1
1766145583958897382,1
1766145584259681836,1
1766145584560026073,1
1766145584864305310,1
1766145585163833440,1
1766145585459215316,1
1766145585757533451,1
1766145586059479416,1
1766145586362124494,1
1766145586661560111,1
1766145586959577374,1
1766145587263112041,1
1766145587561177403,1
1766145587859528258,1
1766145588163151835,1
1766145588459276115,1
1766145588760499869,1
1766145589060614859,1
1766145589359498398,1
1766145589663563443,1
1766145589962119093,1
1766145590257188892,1
1766145590557436954,1
1766145590857203291,1
1766145591160224654,1
1766145591460865837,1
1766145591761230704,1
1766145592059101167,1
1766145592360116654,1
1766145592663532109,1
1766145592959496435,1
1766145593265470430,1
1766145593567672116,1
1766145593859034191,1
1766145594161176975,1
1766145594460599842,1
1766145594757531681,1
1766145595062081675,1
1766145595360451256,1
1766145595659697180,1
1766145595959301308,1
1766145596259922280,1
1766145596561373155,1
1766145596860694747,1
1766145597163531440,1
1766145597463025156,1
1766145597758454089,1
1766145598060799150,1
1766145598360005823,1
1766145598659689120,1
1766145598960253152,1
1766145599261033893,1
