timestamp,value
1766147101340153043,1
1766147101640105168,1
1766147101940090453,1
1766147102240122856,1
1766147102540122173,1
1766147102840108637,1
1766147103140112371,1
1766147103440139409,1
1766147103740137171,1
1766147104040080614,1
1766147104340147339,1
1766147104640176214,1
1766147104940118217,1
1766147105240175374,1
1766147105540162646,1
1766147105840147379,1
1766147106140373185,1
1766147106440138164,1
1766147106740184452,1
1766147107040875358,1
1766147107340438250,1
1766147107640350717,1
1766147107940134447,1
1766147108240108702,1
1766147108540151165,1
1766147108840088521,1
1766147109140076936,1
1766147109440151823,1
1766147109740174617,1
1766147110040121950,1
1766147110340163355,1
1766147110640159675,1
1766147110940083751,1
1766147111240117959,1
1766147111540092392,1
1766147111840089832,1
1766147112140125207,1
1766147112440118883,1
1766147112740139461,1
1766147113040288363,1
1766147113340114709,1
1766147113640126158,1
1766147113940134848,1
1766147114240162081,1
1766147114540160347,1
1766147114840169972,1
1766147115140112434,1
1766147115440070532,1
1766147115740111603,1
1766147116040159593,1
1766147116340157548,1
1766147116640402988,1
1766147116940138845,1
1766147117240065392,1
1766147117540177640,1
1766147117840103786,1
1766147118140095080,1
1766147118440078017,1
1766147118740270358,1
1766147119040183826,1
1766147119340162519,1
1766147119640144377,1
1766147119940097782,1
1766147120240145884,1
1766147120540200136,1
1766147120840165255,1
1766147121140165974,1
1766147121440183261,1
1766147121740164647,1
1766147122040157459,1
1766147122340097843,1
1766147122640121615,1
1766147122940133744,1
1766147123240138399,1
1766147123540134674,1
1766147123840099021,1
1766147124140060648,1
1766147124440059454,1
1766147124740068545,1
1766147125040131893,1
1766147125341069591,1
