timestamp,value
1766146364295223497,2
1766146364599328404,2
1766146364896895043,2
1766146365198267060,2
1766146365499526389,2
1766146365795569270,2
1766146366099299615,2
1766146366398962663,2
1766146366695933149,2
1766146366997298309,2
1766146367296861402,2
1766146367597950413,2
1766146367895475002,2
1766146368199346162,2
1766146368497344298,2
1766146368800050522,2
1766146369097129363,2
1766146369398056477,2
1766146369698919507,2
1766146369995559807,2
1766146370296821581,2
1766146370595732665,2
1766146370899658136,2
1766146371195695147,2
1766146371497365647,2
1766146371796939106,2
1766146372096943832,2
1766146372397834924,2
1766146372696755536,2
1766146372996488927,2
1766146373299402552,2
1766146373603849144,2
1766146373898246754,2
1766146374199464860,2
1766146374499044783,2
1766146374798044948,2
1766146375096132673,2
1766146375395643151,2
1766146375696902849,2
1766146375998059994,2
1766146376299530010,2
1766146376598166007,2
1766146376898327938,2
1766146377196194009,2
1766146377496673993,2
1766146377796314423,2
1766146378098282905,2
1766146378399378072,2
1766146378696899250,2
1766146378998438437,2
1766146379298155201,2
1766146379595836205,2
1766146379895670803,2
1766146380197377372,2
1766146380496083329,2
1766146380795971572,2
1766146381097498763,2
1766146381400696322,2
1766146381700064562,2
1766146381998174671,2
1766146382304227435,2
1766146382602212352,2
