timestamp,value
1766147242642166329,1
1766147242940732926,1
1766147243243514248,1
1766147243543379689,1
1766147243841533619,1
1766147244142207399,1
1766147244440164408,1
1766147244740913500,1
1766147245042848386,1
1766147245340379072,1
1766147245641176768,1
1766147245940877312,1
1766147246240825105,1
1766147246541695806,1
1766147246840227885,1
1766147247141356706,1
1766147247441456488,1
1766147247742053587,1
1766147248040197119,1
1766147248342456874,1
1766147248642716138,1
1766147248941526852,1
1766147249241767583,1
1766147249542107904,1
1766147249841671744,1
1766147250142056453,1
1766147250442867514,1
1766147250741857294,1
1766147251041576650,1
1766147251341595736,1
1766147251641719474,1
1766147251940430880,1
1766147252240848140,1
1766147252542316987,1
1766147252842192355,1
1766147253142449180,1
1766147253440279334,1
1766147253742123211,1
1766147254041444152,1
1766147254342504390,1
1766147254640603856,1
1766147254941974010,1
1766147255241637388,1
1766147255540731607,1
1766147255841536404,1
1766147256140389781,1
1766147256441604749,1
1766147256741938920,1
1766147257042445602,1
1766147257341499063,1
1766147257640253838,1
1766147257941924319,1
1766147258241129423,1
1766147258541847539,1
1766147258841322812,1
1766147259141928261,1
1766147259442164184,1
1766147259740221780,1
1766147260042224327,1
1766147260342024894,1
1766147260641414568,1
1766147260941753787,1
1766147261242103081,1
1766147261541459692,1
1766147261841118864,1
1766147262142235709,1
1766147262442051517,1
1766147262741682681,1
1766147263041264655,1
1766147263341694785,1
1766147263641559444,1
1766147263941136726,1
1766147264241262704,1
1766147264541639213,1
1766147264840661768,1
1766147265142928252,1
1766147265442545637,1
1766147265742181149,1
1766147266041262262,1
1766147266341064997,1
1766147266641000130,1
1766147266942135868,1
1766147267242126566,1
1766147267541137035,1
1766147267841107917,1
1766147268141324975,1
1766147268441227485,1
1766147268741427129,1
1766147269041650978,1
1766147269340456706,1
