timestamp,value
1766149684380470083,1
1766149684680811104,1
1766149684981199897,1
1766149685280005361,1
1766149685580014997,1
1766149685879984249,1
1766149686409796892,1
1766149686480868992,1
1766149686780439349,1
1766149687079933105,1
1766149687380130712,1
1766149687680203043,1
1766149687979961840,1
1766149688280041138,1
1766149688580484441,1
1766149688880675972,1
1766149689179948700,1
1766149689481204899,1
1766149689779948290,1
1766149690080651125,1
1766149690380455480,1
1766149690680322837,1
1766149690980355000,1
1766149691280120515,1
1766149691581847801,1
1766149691882518308,1
1766149692181643766,1
1766149692481729022,1
1766149692780806775,1
1766149693081182412,1
1766149693381982558,1
1766149693681407978,1
1766149693981982912,1
1766149694281535617,1
1766149694580690554,1
1766149694881721770,1
1766149695181663431,1
1766149695480228265,1
1766149695780595532,1
1766149696081428761,1
1766149696381010837,1
1766149696680663944,1
1766149696981627406,1
1766149697281908546,1
1766149697581647514,1
1766149697881255431,1
1766149698181654561,1
1766149698481518322,1
1766149698781336087,1
1766149699080880732,1
1766149699381212028,1
1766149699680343650,1
1766149699980846353,1
1766149700280754209,1
1766149700580962339,1
1766149700880956991,1
1766149701179914341,1
1766149701481278018,1
1766149701781357568,1
1766149702081730365,1
1766149702380860152,1
1766149702681198055,1
1766149702981141444,1
1766149703280466668,1
1766149703581698680,1
1766149703880847514,1
1766149704182056780,1
1766149704482646750,1
1766149704781264355,1
1766149705082329824,1
1766149705381206545,1
1766149705681167521,1
1766149705981784738,1
1766149706282166389,1
1766149706580928368,1
1766149706880208789,1
1766149707181239239,1
1766149707481891281,1
1766149707780734110,1
1766149708081756259,1
1766149708380976524,1
1766149708681756630,1
1766149708980982040,1
1766149709282618100,1
1766149709582228182,1
1766149709880724041,1
1766149710183424942,1
1766149710482251549,1
1766149710781415305,1
1766149711081081117,1
1766149711380939615,1
1766149711681976937,1
1766149711981897728,1
1766149712282005555,1
1766149712581916644,1
1766149712884957424,1
1766149713180284164,1
1766149713481933779,1
1766149713780768012,1
1766149714081953102,1
