timestamp,value
1766150101083885100,1
1766150101384325966,1
1766150101683008672,1
1766150101986249607,1
1766150102281954841,1
1766150102587583361,1
1766150102882620452,1
1766150103184071879,1
1766150103482350123,1
1766150103782645542,1
1766150104083634515,1
1766150104382434790,1
1766150104682894020,1
1766150104985716795,1
1766150105287956970,1
1766150105582300416,1
1766150105881075200,1
1766150106183877030,1
1766150106482958590,1
1766150106781171979,1
1766150107082415424,1
1766150107382776984,1
1766150107690734155,1
1766150107983266226,1
1766150108284268756,1
1766150108583124082,1
1766150108884154499,1
1766150109180936988,1
1766150109486541335,1
1766150109783307181,1
1766150110085107143,1
1766150110385026777,1
1766150110687435203,1
1766150110988337544,1
1766150111286800465,1
1766150111584368062,1
1766150111883924203,1
1766150112182043812,1
1766150112485643773,1
1766150112782290400,1
1766150113083441617,1
1766150113383540011,1
1766150113684086520,1
1766150113983295160,1
1766150114284369700,1
1766150114584372116,1
1766150114883182996,1
1766150115183636143,1
1766150115483676136,1
1766150115783720118,1
1766150116088149554,1
1766150116382832703,1
1766150116685907439,1
1766150116984871273,1
1766150117286580972,1
1766150117582594408,1
1766150117883471038,1
1766150118188473956,1
1766150118485247009,1
1766150118787557830,1
1766150119082815693,1
1766150119386363070,1
1766150119691132734,1
1766150119983408008,1
1766150120286561245,1
1766150120584907597,1
1766150120888887254,1
1766150121181163646,1
1766150121483914848,1
1766150121785470480,1
1766150122082137670,1
1766150122382321425,1
1766150122688313513,1
1766150122983798178,1
1766150123282573947,1
1766150123583054294,1
1766150123883943193,1
1766150124183388113,1
1766150124484848542,1
