timestamp,value
1766144762413540432,1
1766144762714623144,1
1766144763012327029,1
1766144763310432698,1
1766144763612305892,1
1766144763916218924,1
1766144764213961292,1
1766144764510910243,1
1766144764812954855,1
1766144765116247721,1
1766144765413689499,1
1766144765711981200,1
1766144766013648589,1
1766144766315880564,1
1766144766611775416,1
1766144766915895219,1
1766144767211881534,1
1766144767513397452,1
1766144767815216757,1
1766144768112254240,1
1766144768418172526,1
1766144768712585665,1
1766144769013822044,1
1766144769312274459,1
1766144769611159580,1
1766144769914094944,1
1766144770212786768,1
1766144770514302310,1
1766144770815670109,1
1766144771112623580,1
1766144771415558624,1
1766144771712039330,1
1766144772016822424,1
1766144772316292177,1
1766144772615926715,1
1766144772914684023,1
1766144773215751975,1
1766144773514108758,1
1766144773812996094,1
1766144774118422799,1
1766144774418032514,1
1766144774712475805,1
1766144775017712934,1
1766144775315896965,1
1766144775612836923,1
1766144775912996505,1
1766144776213694776,1
1766144776512377090,1
1766144776809653718,1
1766144777113307467,1
1766144777415651959,1
1766144777719126722,1
1766144778011903106,1
1766144778312660552,1
1766144778615299517,1
1766144778915021290,1
1766144779217169506,1
1766144779512800651,1
1766144779815770280,1
1766144780117366678,1
1766144780412254463,1
1766144780711524262,1
1766144781013019665,1
1766144781319498349,1
1766144781615978250,1
1766144781912774812,1
1766144782211009140,1
1766144782514964793,1
1766144782815852804,1
1766144783117132546,1
1766144783416707480,1
1766144783721597754,1
1766144784014918830,1
1766144784316995174,1
1766144784618305261,1
1766144784917002067,1
1766144785217649680,1
1766144785512148931,1
1766144785818895018,1
1766144786116575008,1
1766144786412034340,1
1766144786709866879,1
1766144787012155366,1
1766144787311959839,1
1766144787615874970,1
1766144787917001372,1
1766144788212835903,1
1766144788514812710,1
1766144788812169586,1
1766144789115115833,1
1766144789412813728,1
1766144789711086429,1
1766144790010669970,1
1766144790311888104,1
1766144790614028042,1
1766144790913916921,1
1766144791216902589,1
1766144791516002527,1
1766144791811472658,1
1766144792116424801,1
