timestamp,value
1766146526897844050,2
1766146527196080136,2
1766146527496217913,2
1766146527798016420,2
1766146528095196210,2
1766146528396334816,2
1766146528700120263,2
1766146528995840078,2
1766146529298368074,2
1766146529596129128,2
1766146529897503976,2
1766146530197975926,2
1766146530496761317,2
1766146530796626708,2
1766146531096076321,2
1766146531395528076,2
1766146531696887872,2
1766146531996407132,2
1766146532297153724,2
1766146532600358671,2
1766146532902812377,2
1766146533194968579,2
1766146533495989330,2
1766146533796105507,2
1766146534095840669,2
1766146534396249199,2
1766146534694531859,2
1766146534996426872,2
1766146535296596034,2
1766146535599200248,2
1766146535898080936,2
1766146536199766666,2
1766146536498018435,2
1766146536800485879,2
1766146537097755306,2
1766146537404107082,2
1766146537695765140,2
1766146537997225140,2
1766146538298854518,2
1766146538603917504,2
1766146538898118158,2
1766146539195475893,2
1766146539497459172,2
1766146539799024358,2
1766146540099127375,2
1766146540396347497,2
1766146540698028140,2
1766146540997480421,2
1766146541297505734,2
1766146541599878187,2
1766146541895023351,2
1766146542197951944,2
1766146542498918315,2
1766146542799128676,2
1766146543099903780,2
1766146543396683635,2
1766146543698807525,2
1766146543999050688,2
1766146544295436866,2
1766146544596685775,2
1766146544899424733,2
1766146545198170389,2
1766146545496267036,2
1766146545795650868,2
1766146546098982117,2
1766146546399994117,2
1766146546699212762,2
1766146546995659935,2
1766146547296560049,2
1766146547598395712,2
1766146547899126576,2
1766146548197414720,2
1766146548494990209,2
1766146548801248246,2
1766146549096063784,2
1766146549400709664,2
1766146549697013898,2
1766146549997522021,2
1766146550295974815,2
1766146550599550511,2
1766146550897479436,2
1766146551198956621,2
1766146551496290989,2
1766146551796568103,2
1766146552101957013,2
1766146552395833636,2
1766146552696202913,2
1766146552995559973,2
1766146553296230541,2
1766146553598835458,2
