timestamp,value
1766147990883124504,1
1766147991182857612,1
1766147991482585753,1
1766147991783277206,1
1766147992083614069,1
1766147992381998696,1
1766147992683522822,1
1766147992981368188,1
1766147993282841826,1
1766147993583115624,1
1766147993883444074,1
1766147994182782444,1
1766147994481911518,1
1766147994783526876,1
1766147995083389749,1
1766147995383535895,1
1766147995684635087,1
1766147995982303775,1
1766147996280972226,1
1766147996583669551,1
1766147996886895227,1
1766147997181391012,1
1766147997484498152,1
1766147997782174781,1
1766147998081562079,1
1766147998382038514,1
1766147998682723772,1
1766147998982940904,1
1766147999281335824,1
1766147999585597002,1
1766147999880414575,1
1766148000183079056,1
1766148000482714889,1
1766148000782712307,1
1766148001081581266,1
1766148001384502074,1
1766148001683190650,1
1766148001984300087,1
1766148002283296228,1
1766148002583051777,1
1766148002883543622,1
1766148003183371314,1
1766148003483504369,1
1766148003783853425,1
1766148004081236555,1
1766148004383559316,1
1766148004683515079,1
1766148004983249506,1
1766148005283067332,1
1766148005584592513,1
1766148005882596514,1
1766148006182953243,1
1766148006482294665,1
1766148006783014337,1
1766148007083324961,1
1766148007384302905,1
1766148007681588855,1
1766148007980528680,1
1766148008280992074,1
1766148008584144435,1
1766148008883230493,1
1766148009184469441,1
1766148009480529126,1
1766148009784670543,1
1766148010082610360,1
1766148010380858521,1
1766148010682351731,1
1766148010985481507,1
1766148011283062687,1
1766148011583052396,1
1766148011883566865,1
1766148012181672622,1
1766148012481736090,1
1766148012783791191,1
1766148013082424762,1
1766148013384628777,1
1766148013684315957,1
1766148013982453910,1
1766148014283397782,1
1766148014582841504,1
1766148014884509653,1
1766148015182702183,1
1766148015482494504,1
1766148015784346175,1
1766148016083520705,1
1766148016384914947,1
1766148016685704135,1
1766148016983048113,1
1766148017283010056,1
1766148017581265381,1
1766148017884870154,1
1766148018184550810,1
1766148018482683875,1
1766148018781495642,1
1766148019082334031,1
1766148019382681083,1
1766148019683752570,1
